example_id,conversation_id,tweet_id,customer_message,optional_context,ai_draft_intent,human_intent,ambiguity_flag,human_annotation_notes,annotation_status,annotator_id,annotation_timestamp
GOLDEN_001,1591095,1591095,@AppleSupport how long until you fix the keyboard issues with the autocorrecting of letters?,,Software Bug / Glitch,,,,pending_human_review,,
GOLDEN_002,1151862,1151862,@AppleSupport you seem to be skipping the step that allows to select which carrier phone to get for iPhone X upgrade head start. Why?,,Purchase & Store Operations,,,,pending_human_review,,
GOLDEN_003,2025798,2025798,Bruhhhh I’m so fuckin tired @AppleSupport @115858 fixed these damn glitches ! Keep cutting my phone off,,Device Performance / Hardware,,,,pending_human_review,,
GOLDEN_004,1980666,1980666,What is this “A” and  QUESTION MARK THAT MY PHONE KEEPS DOING!! @115858 @AppleSupport,,Software Bug / Glitch,,,,pending_human_review,,
GOLDEN_005,1906680,1906680,@AppleSupport any way to actually talk to a store? I've tried 0117 959 7600 (Bristol) and just end up back with AppleCare or Sales each time,,Purchase & Store Operations,,,,pending_human_review,,
GOLDEN_006,1674084,1674084,WHY IS THE LETTER I SHOWING UP AS A QUESTION MARK IN A BOX ? @115858 FIX IT,,Software Bug / Glitch,,,,pending_human_review,,
GOLDEN_007,1567535,1567535,@AppleSupport trying to setup HomeKit automation for when multiple people leave home but it says to upgrade my hub -an Apple TV w tvOS 11.1 https\\://t.co/IXpgmAi9vc,,How-To / Feature Question,,,,pending_human_review,,
GOLDEN_008,58276,58276,Love how my $1200 @115858 iPhone X constantly freezes when using apps like YouTube and Apple Music. Wtf,,Device Performance / Hardware,,,,pending_human_review,,
GOLDEN_009,1510864,1510864,Aye @115858 y’all are gonna need to send another update. Every time I️ type an “I️” it ends up looking like this 😒 https\\://t.co/zqG2JxPR3V,,Software Bug / Glitch,,,,pending_human_review,,
GOLDEN_010,852909,852909,@AppleSupport with iOS11 my phone won’t show my music on my lock screen and when I receive calls I can’t hear anything on the other end help,,Software Bug / Glitch,,,,pending_human_review,,
GOLDEN_011,2572646,2572646,@AppleSupport  I updated to iOS 11.0.3 on my 6s plus &amp; I just went from 85% to 13% in an hour after watching two YouTube videos. :/,,Device Performance / Hardware,,,,pending_human_review,,
GOLDEN_012,1188225,1188225,@AppleSupport Since updating to iOS 11 I’m not receiving text alerts on my watch now yet I receive them for WhatsApp &amp; calls 😤,,Software Bug / Glitch,,,,pending_human_review,,
GOLDEN_013,1177191,1177191,"@AppleSupport my iPhone 7 Plus keeps freezing, please send help",,Device Performance / Hardware,,,,pending_human_review,,
GOLDEN_014,1536272,1536272,"@AppleSupport Any idea when the @ATT activation servers will stop shitting themselves, or do I keep mashing Try Again &amp; hope? #iphoneXlaunch",,Purchase & Store Operations,,,,pending_human_review,,
GOLDEN_015,1895703,1895703,Theres isnt a day where @115948 dont kill me with frustration! Cant do the simplest things like.. play music! Without skipping tracks!,,Software Bug / Glitch,,,,pending_human_review,,
GOLDEN_016,1934248,1934248,"@AppleSupport is it just me, or are there issues with iTunes the last few days?  Mine keeps freezing up...  No update available.",,Software Bug / Glitch,,,,pending_human_review,,
GOLDEN_017,354589,354589,"@AppleSupport what password is this referring to? It will not accept my iCloud, computer, or phone password https\\://t.co/tcZVKRuynn",,Services & Account,,,,pending_human_review,,
