example_id,conversation_id,tweet_id,customer_message,optional_context,annotation_status,intent,ambiguity_flag,annotation_notes,annotation_source
GOLDEN_001,1591095,1591095,@AppleSupport how long until you fix the keyboard issues with the autocorrecting of letters?,,ai_draft,Software Bug / Glitch,False,,ai_draft
GOLDEN_002,1151862,1151862,@AppleSupport you seem to be skipping the step that allows to select which carrier phone to get for iPhone X upgrade head start. Why?,,ai_draft,Purchase & Store Operations,False,,ai_draft
GOLDEN_003,2025798,2025798,Bruhhhh I’m so fuckin tired @AppleSupport @115858 fixed these damn glitches ! Keep cutting my phone off,,ai_draft,Device Performance / Hardware,True,Multiple device symptoms plus frustration; primary action is device troubleshooting.,ai_draft
GOLDEN_004,1980666,1980666,What is this “A” and  QUESTION MARK THAT MY PHONE KEEPS DOING!! @115858 @AppleSupport,,ai_draft,Software Bug / Glitch,False,,ai_draft
GOLDEN_005,1906680,1906680,@AppleSupport any way to actually talk to a store? I've tried 0117 959 7600 (Bristol) and just end up back with AppleCare or Sales each time,,ai_draft,Purchase & Store Operations,False,,ai_draft
GOLDEN_006,1674084,1674084,WHY IS THE LETTER I SHOWING UP AS A QUESTION MARK IN A BOX ? @115858 FIX IT,,ai_draft,Software Bug / Glitch,False,,ai_draft
GOLDEN_007,1567535,1567535,@AppleSupport trying to setup HomeKit automation for when multiple people leave home but it says to upgrade my hub -an Apple TV w tvOS 11.1 https\://t.co/IXpgmAi9vc,,ai_draft,How-To / Feature Question,False,,ai_draft
GOLDEN_008,58276,58276,Love how my $1200 @115858 iPhone X constantly freezes when using apps like YouTube and Apple Music. Wtf,,ai_draft,Device Performance / Hardware,False,,ai_draft
GOLDEN_009,1510864,1510864,Aye @115858 y’all are gonna need to send another update. Every time I️ type an “I️” it ends up looking like this 😒 https\://t.co/zqG2JxPR3V,,ai_draft,Software Bug / Glitch,False,,ai_draft
GOLDEN_010,852909,852909,@AppleSupport with iOS11 my phone won’t show my music on my lock screen and when I receive calls I can’t hear anything on the other end help,,ai_draft,Software Bug / Glitch,True,Two distinct post-update failures (music/phone calls); primary intent requires judgment.,ai_draft
GOLDEN_011,2572646,2572646,@AppleSupport  I updated to iOS 11.0.3 on my 6s plus &amp; I just went from 85% to 13% in an hour after watching two YouTube videos. :/,,ai_draft,Device Performance / Hardware,False,,ai_draft
GOLDEN_012,1188225,1188225,@AppleSupport Since updating to iOS 11 I’m not receiving text alerts on my watch now yet I receive them for WhatsApp &amp; calls 😤,,ai_draft,Software Bug / Glitch,False,,ai_draft
GOLDEN_013,1177191,1177191,"@AppleSupport my iPhone 7 Plus keeps freezing, please send help",,ai_draft,Device Performance / Hardware,False,,ai_draft
GOLDEN_014,1536272,1536272,"@AppleSupport Any idea when the @ATT activation servers will stop shitting themselves, or do I keep mashing Try Again &amp; hope? #iphoneXlaunch",,ai_draft,Purchase & Store Operations,False,,ai_draft
GOLDEN_015,1895703,1895703,Theres isnt a day where @115948 dont kill me with frustration! Cant do the simplest things like.. play music! Without skipping tracks!,,ai_draft,Software Bug / Glitch,True,"Music playback failure is specific, but wording is vague about the underlying cause.",ai_draft
GOLDEN_016,1934248,1934248,"@AppleSupport is it just me, or are there issues with iTunes the last few days?  Mine keeps freezing up...  No update available.",,ai_draft,Software Bug / Glitch,False,,ai_draft
GOLDEN_017,354589,354589,"@AppleSupport what password is this referring to? It will not accept my iCloud, computer, or phone password https\://t.co/tcZVKRuynn",,ai_draft,Services & Account,False,,ai_draft
GOLDEN_018,916941,916941,I want ios 10 back on my device how can i get that plz help me @115858 the Battery life is worse than i expected i m using 6s,,ai_draft,How-To / Feature Question,True,"Primarily asks how to downgrade iOS, while also mentioning battery drain.",ai_draft
GOLDEN_019,1161726,1161726,@AppleSupport literally cannot figure out how to delete a movie off my phone for the life of me since the new update.,,ai_draft,How-To / Feature Question,False,,ai_draft
GOLDEN_020,662817,662817,@AppleSupport ever since I updated my iPhone 6 to iOS 11.1 (currently at 11.1.2) my battery life is terrible.  I lose 10%/hr with the phone locked and in “low power” mode.  Support told me it is a known issue with iOS 11.1 When will it be fixed?,,ai_draft,Device Performance / Hardware,False,,ai_draft
GOLDEN_021,1828408,1828408,I upgraded my phone to iOS11. I had 3GB of storage free. Business as usual and now I am out of storage space. What gives? @AppleSupport,,ai_draft,Device Performance / Hardware,True,Storage loss after update could be software behavior or storage management; needs human review.,ai_draft
GOLDEN_022,578769,578769,@AppleSupport um hi my iphone SE keeps restarting. It's been doing it all day and I have no idea why. Can you provide any advice? Thanks.,,ai_draft,Device Performance / Hardware,False,,ai_draft
